SA2_9DIG16,SA2_NAME16,SA2_9DIG21,SA2_NAME21
101031015, Cooma Region,101031015, Cooma Surrounds
101051540, Goulburn Region,101051540, Goulburn Surrounds
101061542, Yass Region,101061542, Yass Surrounds
101061544, Young Region,101061544, Young Surrounds
103011060, Bathurst Region,103011060, Bathurst Surrounds
103021064, Cowra Region,103021064, Cowra Surrounds
103021068, Parkes Region,103021068, Parkes Surrounds
103031071, Lithgow Region,103031071, Lithgow Surrounds
103031073, Mudgee Region - East,103031073, Mudgee Surrounds - East
103031074, Mudgee Region - West,103031074, Mudgee Surrounds - West
103041079, Orange Region,103041079, Orange Surrounds
104011081, Grafton Region,104011081, Grafton Surrounds
105031103, Dubbo Region,105031103, Dubbo Surrounds
106011109, Cessnock Region,106011109, Cessnock Surrounds
106011113, Singleton Region,106011113, Singleton Surrounds
106041127, Muswellbrook Region,106041127, Muswellbrook Surrounds
106041129, Scone Region,106041129, Scone Surrounds
108011153, Forster-Tuncurry Region,108011153, Forster-Tuncurry Surrounds
108021156, Kempsey Region,108021156, Kempsey Surrounds
108021159, Nambucca Heads Region,108021159, Nambucca Heads Surrounds
108041165, Port Macquarie Region,108041165, Port Macquarie Surrounds
108051170, Taree Region,108051170, Taree Surrounds
109011175, Albury Region,109011175, Albury Surrounds
109031181, Corowa Region,109031181, Corowa Surrounds
109031183, Deniliquin Region,109031183, Deniliquin Surrounds
110011187, Armidale Region - North,110011187, Armidale Surrounds - North
110011188, Armidale Region - South,110011188, Armidale Surrounds - South
110021192, Inverell Region - East,110021192, Inverell Surrounds - East
110021193, Inverell Region - West,110021193, Inverell Surrounds - West
110031196, Moree Region,110031196, Moree Surrounds
110031198, Narrabri Region,110031198, Narrabri Surrounds
110041200, Gunnedah Region,110041200, Gunnedah Surrounds
110041205, Tamworth Region,110041205, Tamworth Surrounds
112011237, Ballina Region,112011237, Ballina Surrounds
112021245, Casino Region,112021245, Casino Surrounds
112021249, Lismore Region,112021249, Lismore Surrounds
112031252, Murwillumbah Region,112031252, Murwillumbah Surrounds
112031551, Terranora - North Tumblegum,112031551, Terranora - North Tumbulgum
113011257, Griffith Region,113011257, Griffith Surrounds
113021262, Tumut Region,113021262, Tumut Surrounds
113031271, Wagga Wagga Region,113031271, Wagga Wagga Surrounds
114011283, Ulladulla Region,114011283, Ulladulla Surrounds
115011290, Baulkham Hills (East),115011290, Baulkham Hills - East
116011560, Blacktown (South),116011560, Blacktown - South
116011561, Blacktown (West),116011561, Blacktown - West
121021579, Waitara - Wahroonga (West),121021579, Wahroonga (West) - Waitara
128011606, Woolaware - Burraneer,128011606, Woolooware - Burraneer
201021009, Bacchus Marsh Region,201021009, Bacchus Marsh Surrounds
201031017, Maryborough Region,201031017, Maryborough Surrounds
202021026, Bendigo Region - South,202021026, Bendigo Surrounds - South
202021028, Castlemaine Region,202021028, Castlemaine Surrounds
202031032, Bendigo Region - North,202031032, Bendigo Surrounds - North
204011060, Seymour Region,204011060, Seymour Surrounds
204021064, Benalla Region,204021064, Benalla Surrounds
204021067, Wangaratta Region,204021067, Wangaratta Surrounds
206041127, West Melbourne,206041127, West Melbourne - Industrial
206071145, Yarra - North,206071145, Clifton Hill - Alphington
207021424, Doncaster East (North),207021424, Doncaster East - North
207021425, Doncaster East (South),207021425, Doncaster East - South
207031165, Burwood,207031165, Burwood (Vic.)
208011171, Cheltenham - Highett (West),208011171, Highett (West) - Cheltenham
208021426, Bentleigh East (North),208021426, Bentleigh East - North
208021427, Bentleigh East (South),208021427, Bentleigh East - South
208031188, Cheltenham - Highett (East),208031188, Highett (East) - Cheltenham
209041433, Epping - West,209041433, Epping (Vic.) - West
209041435, South Morang (North),209041435, South Morang - North
209041436, South Morang (South),209041436, South Morang - South
211011447, Ferntree Gully (North),211011447, Ferntree Gully - North
212031457, Narre Warren South (East),212031457, Narre Warren South - East
212031458, Narre Warren South (West),212031458, Narre Warren South - West
215011387, Ararat Region,215011387, Ararat Surrounds
215011389, Horsham Region,215011389, Horsham Surrounds
215021398, Mildura Region,215021398, Mildura Surrounds
215031405, Swan Hill Region,215031405, Swan Hill Surrounds
216031418, Shepparton Region - East,216031418, Shepparton Surrounds - East
216031419, Shepparton Region - West,216031419, Shepparton Surrounds - West
217031473, Colac Region,217031473, Colac Surrounds
307011177, Roma Region,307011177, Roma Surrounds
307031188, Stanthorpe Region,307031188, Stanthorpe Surrounds
308031218, Rockhampton Region - East,308031218, Rockhampton Surrounds - East
308031219, Rockhampton Region - North,308031219, Rockhampton Surrounds - North
308031220, Rockhampton Region - West,308031220, Rockhampton Surrounds - West
311061330, Kingston (Qld.),311061330, Kingston (Qld)
318011465, Ingham Region,318011465, Ingham Surrounds
318021468, Annandale,318021468, Annandale (Qld)
319011498, Bundaberg Region - North,319011498, Bundaberg Surrounds - North
319011499, Bundaberg Region - South,319011499, Bundaberg Surrounds - South
319021506, Kingaroy Region - North,319021506, Kingaroy Surrounds - North
319021507, Kingaroy Region - South,319021507, Kingaroy Surrounds - South
319031514, Gympie Region,319031514, Gympie Surrounds
319051525, Maryborough Region - South,319051525, Maryborough Surrounds - South
401021008, Mount Barker Region,401021008, Mount Barker Surrounds
401031012, Glenside - Beaumont,401031012, Beaumont - Glen Osmond
405031123, Port Pirie Region,405031123, Port Pirie Surrounds
407011147, Strathalbyn Region,407011147, Strathalbyn Surrounds
407021155, Naracoorte Region,407021155, Naracoorte Surrounds
407031163, Loxton Region,407031163, Loxton Surrounds
407031166, Murray Bridge Region,407031166, Murray Bridge Surrounds
407031168, Renmark Region,407031168, Renmark Surrounds
501011003, Busselton Region,501011003, Busselton Surrounds
507031169, Bertram - Wellard (West),507031169, Wellard (West) - Bertram
509011226, Albany Region,509011226, Albany Surrounds
511011275, Esperance Region,511011275, Esperance Surrounds
604011076, Burnie - Ulverstone Region,604011076, Burnie - Ulverstone Surrounds
